id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
10244,（小）スタミナ焼肉丼（(Small size)Rice bowl topped with grilled-meat， garlic shoots）,352,503,20.1,10.9,75.7,0.8,1.9,0.3,4.1
10249,（大）塩ダレ唐揚げ丼（(Large size)Deep-fried chicken with salt-based sauce bowl）,506,963,27.6,21.6,154.1,3.2,2.5,0.1,9.5
10248,（中）塩ダレ唐揚げ丼（(Medium size)Deep-fried chicken with salt-based sauce bowl）,418,752,21.9,16.7,120.1,2.3,2.0,0.1,7.4
10247,（小）塩ダレ唐揚げ丼（(Small size)Deep-fried chicken with salt-based sauce bowl）,352,540,16.1,11.8,86.2,1.4,1.5,0.0,5.2
10252,（大）豚みそ焼肉丼（(Large size)Broiled pork with soybean paste bowl）,506,962,39.4,22.9,140.1,2.3,3.9,0.4,7.9
10251,（中）豚みそ焼肉丼（(Medium size)Broiled pork with soybean paste bowl）,418,727,29.0,16.4,107.9,1.7,2.8,0.3,6.1
10250,（小）豚みそ焼肉丼（(Small size)Broiled pork with soybean paste bowl）,352,517,20.4,11.5,77.3,1.2,1.9,0.2,4.4
10175,（大）中華旨煮丼（(Large size)Rice bowl topped with Chinese-style braised pork）,561,899,21.8,16.9,126.9,3.2,1.5,0.2,9.5
10174,（中）中華旨煮丼（(Medium size)Rice bowl topped with Chinese-style braised pork）,473,691,16.6,12.7,98.9,2.4,1.1,0.2,7.3
10173,（小）中華旨煮丼（(Small size)Rice bowl topped with Chinese-style braised pork）,407,484,11.5,8.4,70.8,1.6,0.8,0.1,5.2
10169,（大）鶏そぼろ丼（(Large size)Rice bowl topped with minced chicken）,506,780,24.7,11.0,134.6,1.9,1.8,0.1,8.2
10168,（中）鶏そぼろ丼（(Medium size)Rice bowl topped with minced chicken）,418,622,20.1,9.2,106.0,1.6,1.5,0.1,6.5
10167,（小）鶏そぼろ丼（(Small size)Rice bowl topped with minced chicken）,352,424,12.9,5.5,74.7,0.9,0.9,0.1,4.5
12058,（大）カレーライス（(Large size)Curry rice）,374,738,13.6,11.4,140.1,4.8,0.0,0.3,8.7
12057,（中）カレーライス（(Medium size)Curry rice）,286,579,10.7,9.0,109.8,4.0,0.0,0.2,6.8
12056,（小）カレーライス（(Small size)Curry rice）,253,440,8.2,7.8,81.7,3.6,0.0,0.2,5.1
12061,（大）ヒレカツカレー（(Large size)Curry and rice topped with pork fillet cutlets）,528,1098,28.4,34.3,162.2,6.0,0.7,0.3,12.3
12060,（中）ヒレカツカレー（(Medium size)Curry and rice topped with pork fillet cutlets）,440,819,20.5,24.3,124.5,4.8,0.5,0.2,9.2
12059,（小）ヒレカツカレー（(Small size)Curry and rice topped with pork fillet cutlets）,374,560,13.1,15.4,89.1,4.0,0.2,0.2,6.3
12064,（大）唐揚げカレー（(Large size)Curry and rice topped with fried chicken）,528,1021,27.8,25.3,163.1,5.9,2.0,0.3,10.2
12063,（中）唐揚げカレー（(Medium size)Curry and rice topped with fried chicken）,440,791,21.3,19.4,127.1,4.8,1.5,0.2,8.0
